FID,pointid,b1_S2,b2_S2,b3_S2,b4_S2,b5_S2,b6_S2,b7_S2,b8_S2,b9_S2,b10_S2,b11_S2,b12_S2,b13_S2,b14_S2,b15_S2,b16_S2,b17_S2,b18_S2,Classname,Classvalue
4785,4635,228,385,414,794,1547,1843,1832,979,2127,322,648,390,1306,2918,3293,2388,1172,3649,Low Vegetation,61
4786,4636,213,390,376,775,1673,1934,1780,932,2237,323,656,383,1287,2930,3366,2390,1150,3711,Low Vegetation,61
4787,4637,268,454,504,865,1592,1825,2153,1242,2115,380,696,470,1296,2880,3235,2624,1356,3561,Low Vegetation,61
4788,4638,253,440,488,862,1593,1833,2012,1169,2110,385,699,526,1284,2694,2963,2613,1386,3309,Low Vegetation,61
4789,4639,221,379,392,776,1590,1860,1873,1013,2138,354,677,424,1268,2717,3056,2482,1268,3389,Low Vegetation,61
4790,4640,221,408,421,812,1596,1876,1866,1018,2155,343,683,420,1286,2839,3258,2450,1211,3570,Low Vegetation,61
4791,4641,241,404,438,837,1603,1861,1902,1089,2205,345,667,429,1242,2718,3037,2490,1281,3354,Low Vegetation,61
4792,4642,212,406,421,812,1580,1807,1902,1032,2167,338,650,418,1239,2668,3013,2508,1297,3332,Low Vegetation,61
4793,4643,214,391,387,782,1635,1927,1804,971,2196,351,664,429,1244,2720,3090,2463,1252,3385,Low Vegetation,61
4794,4644,225,388,382,775,1652,1832,1763,951,2218,330,676,411,1251,2766,3137,2414,1228,3479,Low Vegetation,61
4795,4645,232,394,396,803,1517,1839,1826,969,2082,325,648,421,1255,2744,3057,2442,1249,3418,Low Vegetation,61
4796,4646,271,436,478,807,1602,1814,1814,984,2158,395,674,549,1216,2594,2997,2481,1259,3307,Low Vegetation,61
4797,4649,299,473,546,903,1612,1899,2186,1230,2184,368,697,504,1309,2830,3156,2590,1355,3495,Low Vegetation,61
4798,4650,256,451,502,874,1651,1886,2094,1193,2215,382,711,492,1313,2832,3201,2637,1357,3510,Low Vegetation,61
4799,4651,246,413,426,846,1642,1936,1944,1095,2250,389,711,483,1316,2774,3142,2602,1342,3452,Low Vegetation,61
4800,4652,211,395,390,794,1677,1978,1820,983,2281,344,681,415,1277,2775,3142,2476,1219,3488,Low Vegetation,61
4801,4653,234,397,425,817,1572,1872,1834,988,2172,354,690,460,1270,2714,3093,2473,1263,3386,Low Vegetation,61
4802,4654,225,388,414,776,1569,1836,1823,1000,2126,346,645,452,1229,2651,2985,2481,1259,3284,Low Vegetation,61
4803,4655,232,404,399,799,1635,1946,1815,961,2246,358,662,438,1213,2598,3000,2468,1255,3321,Low Vegetation,61
4804,4656,223,403,388,819,1706,2034,1741,948,2285,369,673,482,1223,2551,2960,2473,1278,3241,Low Vegetation,61
4805,4657,210,397,383,806,1653,1923,1745,927,2279,341,649,434,1268,2709,3092,2421,1237,3421,Low Vegetation,61
4806,4658,213,390,356,767,1616,1924,1713,903,2149,334,649,395,1256,2756,3130,2382,1181,3446,Low Vegetation,61
4807,4659,245,406,413,785,1634,1877,1710,917,2182,357,652,460,1228,2672,3053,2382,1207,3353,Low Vegetation,61
4808,4663,253,427,444,862,1651,1899,2053,1203,2202,376,697,463,1278,2775,3134,2589,1336,3509,Low Vegetation,61
4809,4664,322,490,595,890,1602,1840,2170,1233,2164,392,705,509,1324,2791,3094,2622,1372,3488,Low Vegetation,61
4810,4665,254,442,494,901,1626,1880,2073,1195,2213,385,715,491,1311,2734,3064,2625,1367,3439,Low Vegetation,61
4811,4666,229,400,444,865,1646,1927,1961,1094,2249,364,704,484,1303,2698,3072,2609,1374,3349,Low Vegetation,61
4812,4667,237,403,409,819,1655,1942,1827,1012,2200,360,702,439,1267,2715,3042,2511,1261,3422,Low Vegetation,61
4813,4668,217,401,381,806,1611,1927,1793,956,2177,350,686,442,1259,2708,3080,2444,1233,3419,Low Vegetation,61
4814,4669,228,384,370,778,1669,1944,1756,956,2239,345,665,413,1233,2671,3017,2408,1200,3336,Low Vegetation,61
4815,4670,211,404,375,810,1703,2007,1761,933,2295,338,672,438,1215,2661,3020,2422,1244,3318,Low Vegetation,61
4816,4671,192,377,327,781,1774,2091,1637,851,2420,350,678,459,1207,2616,2931,2416,1240,3266,Low Vegetation,61
4817,4672,222,406,384,775,1718,2027,1697,883,2294,373,680,459,1239,2653,3038,2416,1228,3351,Low Vegetation,61
4818,4673,205,382,345,760,1665,1941,1694,884,2252,317,635,383,1239,2824,3182,2334,1130,3511,Low Vegetation,61
4819,4679,275,467,530,870,1565,1817,2155,1248,2116,388,707,543,1283,2565,2968,2689,1419,3221,Low Vegetation,61
4820,4680,257,433,463,883,1625,1886,2001,1154,2211,376,698,491,1282,2709,3038,2586,1363,3323,Low Vegetation,61
4821,4681,251,433,479,871,1668,1893,2046,1154,2204,396,709,501,1320,2743,3130,2589,1329,3471,Low Vegetation,61
4822,4682,245,426,457,866,1626,1911,1974,1124,2225,362,678,480,1294,2722,3099,2593,1336,3461,Low Vegetation,61
4823,4683,239,422,471,857,1600,1884,1978,1080,2164,378,691,509,1288,2736,3045,2640,1379,3378,Low Vegetation,61
4824,4684,219,396,415,806,1611,1876,1838,1011,2193,348,672,459,1266,2679,3045,2533,1299,3384,Low Vegetation,61
4825,4685,216,410,378,805,1700,1971,1716,899,2249,345,677,427,1275,2672,3084,2427,1221,3418,Low Vegetation,61
4826,4686,201,376,346,781,1775,2092,1652,842,2398,340,663,429,1241,2659,2997,2343,1174,3337,Low Vegetation,61
4827,4687,219,392,387,804,1761,2068,1716,905,2345,342,653,440,1231,2651,3026,2428,1231,3318,Low Vegetation,61
4828,4688,208,372,351,784,1780,2103,1652,848,2413,368,672,462,1244,2680,3035,2455,1246,3394,Low Vegetation,61
4829,4689,205,380,358,772,1721,2005,1653,846,2294,343,643,439,1204,2669,3044,2401,1199,3384,Low Vegetation,61
4830,4690,233,405,418,782,1556,1812,1741,925,2174,349,655,431,1241,2749,3146,2372,1186,3483,Low Vegetation,61
4831,4698,343,555,713,1047,1577,1790,2347,1407,2130,433,687,653,1277,2485,2772,2775,1487,3132,Low Vegetation,61
4832,4699,278,476,513,906,1605,1899,2174,1252,2142,410,684,586,1269,2596,2883,2713,1437,3208,Low Vegetation,61
4833,4700,258,449,493,880,1663,1938,2005,1123,2187,375,705,497,1284,2753,3075,2581,1347,3452,Low Vegetation,61
4834,4701,241,403,414,846,1694,1922,1949,1080,2263,340,697,451,1307,2834,3194,2526,1268,3574,Low Vegetation,61
4835,4702,217,397,389,800,1690,1962,1837,986,2299,342,660,443,1282,2727,3141,2475,1243,3439,Low Vegetation,61
4836,4703,213,384,405,808,1571,1873,1895,1010,2145,350,666,444,1280,2739,3139,2507,1266,3443,Low Vegetation,61
4837,4704,228,383,409,803,1602,1902,1822,986,2192,336,656,437,1256,2717,3075,2476,1243,3414,Low Vegetation,61
4838,4705,220,392,356,793,1741,2041,1706,861,2352,345,666,423,1248,2724,3086,2410,1181,3394,Low Vegetation,61
4839,4706,198,384,329,750,1844,2192,1602,801,2410,345,661,439,1232,2658,3055,2332,1137,3382,Low Vegetation,61
4840,4707,201,386,348,781,1783,2120,1647,845,2384,331,660,440,1214,2622,2997,2369,1187,3307,Low Vegetation,61
4841,4708,209,370,343,766,1709,2028,1636,841,2310,351,663,450,1230,2614,3054,2448,1236,3351,Low Vegetation,61
4842,4709,201,379,333,756,1721,1984,1617,797,2295,331,634,406,1213,2727,3131,2366,1192,3458,Low Vegetation,61
4843,4710,215,383,391,779,1589,1853,1682,914,2110,337,650,427,1233,2809,3173,2372,1175,3501,Low Vegetation,61
4844,4720,243,443,469,863,1681,1952,1990,1127,2193,349,697,460,1252,2793,3177,2490,1261,3468,Low Vegetation,61
4845,4721,275,496,554,937,1656,1861,2128,1231,2179,379,695,489,1289,2747,3179,2566,1318,3466,Low Vegetation,61
4846,4722,261,476,507,896,1690,1950,2028,1168,2239,373,681,499,1268,2734,3145,2562,1300,3486,Low Vegetation,61
4847,4723,245,432,468,867,1677,1917,1987,1095,2276,368,687,477,1289,2793,3162,2549,1295,3510,Low Vegetation,61
4848,4724,219,393,429,834,1632,1882,1917,1043,2238,345,695,447,1315,2832,3247,2511,1250,3595,Low Vegetation,61
4849,4725,214,397,395,818,1654,1916,1831,990,2220,331,641,425,1277,2753,3055,2446,1212,3426,Low Vegetation,61
4850,4726,207,380,389,797,1620,1852,1816,965,2216,345,654,428,1234,2707,3103,2430,1186,3424,Low Vegetation,61
4851,4727,220,377,376,780,1625,1956,1774,932,2281,331,658,424,1251,2719,3062,2411,1174,3393,Low Vegetation,61
4852,4728,221,382,360,789,1683,1966,1694,873,2252,331,650,406,1273,2766,3124,2365,1154,3478,Low Vegetation,61
4853,4729,195,370,322,746,1768,2093,1609,817,2370,330,650,400,1254,2857,3199,2317,1119,3590,Low Vegetation,61
4854,4730,202,360,341,748,1714,2018,1609,828,2351,316,639,413,1216,2756,3054,2336,1179,3413,Low Vegetation,61
4855,4731,189,349,335,715,1639,1967,1589,821,2213,339,630,460,1179,2623,3090,2373,1200,3403,Low Vegetation,61
4856,4732,219,367,353,731,1653,2002,1592,796,2263,323,620,389,1178,2738,3118,2289,1124,3403,Low Vegetation,61
4857,4733,225,386,386,779,1642,1945,1647,861,2247,328,639,407,1180,2800,3193,2236,1080,3494,Low Vegetation,61
4858,4745,226,409,428,832,1661,1900,1900,1021,2220,351,699,466,1286,2853,3173,2480,1250,3561,Low Vegetation,61
4859,4746,194,371,398,803,1556,1849,1843,1002,2158,335,667,406,1302,2814,3239,2477,1245,3553,Low Vegetation,61
4860,4747,208,377,383,793,1623,1894,1788,955,2193,328,639,410,1275,2791,3112,2453,1203,3466,Low Vegetation,61
4861,4748,202,367,383,780,1606,1883,1782,947,2163,341,651,412,1242,2816,3191,2400,1168,3510,Low Vegetation,61
4862,4749,207,361,368,754,1627,1875,1761,917,2237,326,631,421,1236,2778,3080,2388,1179,3427,Low Vegetation,61
4863,4750,199,361,354,762,1716,1989,1690,876,2264,334,622,409,1208,2643,3101,2349,1144,3426,Low Vegetation,61
4864,4751,205,359,338,750,1697,2005,1646,837,2343,325,638,410,1216,2786,3228,2314,1127,3557,Low Vegetation,61
4865,4752,218,385,365,747,1658,2009,1636,833,2308,346,648,463,1211,2826,3138,2385,1195,3503,Low Vegetation,61
4866,4753,206,365,339,721,1632,1930,1646,854,2179,325,641,410,1202,2769,3164,2391,1183,3530,Low Vegetation,61
4867,4754,193,369,324,749,1702,1962,1615,830,2266,309,633,398,1158,2732,3041,2264,1118,3347,Low Vegetation,61
4868,4755,206,382,347,793,1781,2053,1714,896,2386,329,653,398,1156,2751,3103,2237,1095,3451,Low Vegetation,61
4869,4796,444,803,758,1432,2774,3188,2930,1621,3578,483,879,616,1439,3448,3967,3026,1522,4368,Low Vegetation,61
4870,4797,429,814,714,1436,2997,3421,2849,1534,3764,481,871,612,1409,3393,3946,2962,1475,4310,Low Vegetation,61
4871,4798,374,787,642,1431,2960,3454,2717,1448,3853,430,813,554,1389,3399,4024,2814,1392,4351,Low Vegetation,61
4872,4799,375,752,612,1363,3023,3461,2621,1398,3840,412,801,537,1390,3479,4045,2726,1350,4382,Low Vegetation,61
4873,4800,340,795,507,1351,3380,3787,2452,1236,4113,391,772,495,1347,3393,3921,2620,1305,4317,Low Vegetation,61
4874,4801,316,774,417,1367,3645,4191,2241,1105,4569,415,758,589,1357,3006,3580,2683,1368,3910,Low Vegetation,61
4875,4802,328,726,411,1262,3297,3840,2135,1041,4178,378,700,483,1235,3045,3626,2472,1238,4034,Low Vegetation,61
4876,4803,246,684,284,1158,3884,4513,2009,934,4570,345,663,432,1169,3192,3755,2333,1128,4149,Low Vegetation,61
4877,4804,235,664,272,1143,3996,4727,1982,893,5085,363,668,477,1177,2971,3494,2403,1192,3825,Low Vegetation,61
4878,4805,238,672,287,1143,3873,4578,2019,922,4873,372,652,492,1182,2940,3485,2429,1194,3854,Low Vegetation,61
4879,4806,266,702,364,1191,3634,4283,2102,971,4505,351,641,408,1076,3336,4084,2286,1049,4452,Low Vegetation,61
4880,4807,275,690,351,1171,3566,4133,2164,1022,4371,344,643,376,1088,3475,4337,2255,986,4684,Low Vegetation,61
4881,4808,287,683,411,1166,3416,3977,2135,1035,4333,379,661,428,1157,3457,4166,2281,1042,4608,Low Vegetation,61
4882,4809,345,676,593,1239,2579,2951,2427,1311,3285,337,671,433,1259,3116,3699,2539,1263,4044,Low Vegetation,61
4883,4810,358,738,587,1289,2823,3272,2365,1251,3522,398,767,512,1284,3093,3628,2436,1190,4016,Low Vegetation,61
4884,4811,334,738,503,1271,3016,3427,2309,1166,3713,385,746,492,1314,3039,3486,2506,1271,3869,Low Vegetation,61
4885,4812,337,759,464,1328,3271,3773,2268,1156,4154,398,750,522,1325,3085,3657,2594,1312,3972,Low Vegetation,61
4886,4813,314,713,452,1221,3296,3704,2246,1102,3907,364,697,445,1206,3242,3807,2422,1192,4199,Low Vegetation,61
4887,4814,300,720,385,1235,3589,4034,2113,1028,4447,357,674,413,1136,3302,3929,2269,1058,4238,Low Vegetation,61
4888,4815,281,692,341,1165,3817,4454,2097,992,4825,355,682,453,1170,3196,3832,2290,1084,4248,Low Vegetation,61
4889,4816,272,696,364,1187,3628,4205,2139,1017,4528,382,668,444,1156,3211,3872,2301,1084,4217,Low Vegetation,61
4890,4817,319,710,469,1217,3246,3791,2195,1077,3982,342,655,395,1089,3445,4308,2240,999,4606,Low Vegetation,61
4891,4818,314,711,446,1195,3332,3755,2209,1094,4154,352,680,402,1110,3511,4273,2280,1019,4637,Low Vegetation,61
4892,4819,269,669,331,1165,3681,4254,2091,999,4606,354,659,412,1148,3565,4345,2286,1020,4750,Low Vegetation,61
4893,4820,260,616,333,1059,3368,3992,1938,924,4125,314,622,374,1136,3573,4464,2163,965,4798,Low Vegetation,61
4894,4821,272,675,353,1152,3549,4152,2027,978,4374,338,630,361,1124,3856,4493,2107,932,4839,Low Vegetation,61
4895,4822,281,721,373,1212,3697,4308,2076,977,4636,366,691,452,1181,3553,4383,2233,1020,4721,Low Vegetation,61
4896,4823,278,677,453,1209,2703,3042,2141,1104,3435,361,733,467,1259,2850,3262,2411,1193,3639,Low Vegetation,61
4897,4824,331,718,500,1245,2900,3333,2275,1171,3592,394,735,534,1288,2848,3338,2555,1304,3651,Low Vegetation,61
4898,4825,384,804,599,1345,3123,3560,2471,1269,3863,415,770,513,1279,3240,3813,2636,1290,4172,Low Vegetation,61
4899,4826,325,702,500,1239,3036,3411,2317,1165,3593,368,709,452,1181,3313,3861,2389,1136,4320,Low Vegetation,61
4900,4827,294,752,387,1269,3487,4050,2148,1047,4511,361,668,411,1158,3335,4006,2238,1048,4336,Low Vegetation,61
4901,4828,291,720,381,1204,3766,4371,2152,1028,4602,357,677,440,1188,3314,3997,2239,1037,4379,Low Vegetation,61
4902,4829,320,713,439,1196,3499,4097,2209,1072,4396,370,676,456,1177,3282,3940,2262,1043,4333,Low Vegetation,61
4903,4830,349,729,530,1233,3203,3664,2281,1149,3830,379,681,438,1129,3410,4127,2274,1028,4481,Low Vegetation,61
4904,4831,356,722,550,1175,3010,3395,2247,1145,3786,370,681,438,1131,3380,4098,2313,1045,4460,Low Vegetation,61
4905,4832,309,696,414,1185,3370,4037,2142,1023,4359,377,689,441,1161,3382,4102,2269,1035,4500,Low Vegetation,61
4906,4833,284,715,343,1185,3869,4511,2055,964,4626,366,670,435,1158,3642,4403,2186,986,4715,Low Vegetation,61
4907,4834,234,682,266,1129,4135,4887,1995,873,5000,361,738,466,1257,3900,4693,2223,1006,5053,Low Vegetation,61
4908,4835,380,778,554,1344,3067,3533,2391,1254,3895,447,802,585,1353,3085,3564,2817,1436,3907,Low Vegetation,61
4909,4836,389,831,586,1397,3287,3670,2509,1280,3982,413,788,524,1287,3323,3901,2740,1340,4282,Low Vegetation,61
4910,4837,329,702,488,1293,3179,3540,2290,1141,3983,397,732,465,1156,3267,3807,2486,1192,4270,Low Vegetation,61
4911,4838,294,716,360,1217,3638,4329,2147,1020,4604,362,659,446,1187,3228,3971,2292,1082,4266,Low Vegetation,61
4912,4839,271,699,366,1155,3774,4265,2118,1017,4495,376,672,465,1201,3242,3844,2270,1066,4232,Low Vegetation,61
4913,4840,240,663,306,1114,3646,4325,2106,1008,4576,354,645,453,1208,3204,3785,2257,1064,4172,Low Vegetation,61
4914,4841,323,699,444,1172,3474,3960,2214,1093,4216,377,670,464,1195,3251,3911,2272,1060,4295,Low Vegetation,61
4915,4842,254,662,319,1132,3585,4183,2179,1033,4661,361,659,443,1184,3293,4016,2269,1038,4399,Low Vegetation,61
4916,4843,252,682,315,1158,4023,4632,2063,961,4790,363,662,453,1179,3411,4071,2226,1015,4450,Low Vegetation,61
4917,4844,245,685,280,1190,4259,4964,2032,899,5171,349,646,384,1128,3803,4695,2196,988,4950,Low Vegetation,61
4918,4845,224,696,273,1190,4296,5000,2049,910,5276,351,686,364,1154,4013,4795,2210,973,5146,Low Vegetation,61
4919,4846,240,685,253,1173,4282,5033,1989,874,5268,361,730,383,1240,4209,5180,2234,968,5397,Low Vegetation,61
4920,4847,375,818,527,1390,3234,3695,2433,1257,3974,425,789,565,1333,3229,3784,2868,1453,4126,Low Vegetation,61
4921,4848,383,792,547,1347,3199,3673,2357,1201,4194,423,751,582,1278,3056,3618,2742,1401,3975,Low Vegetation,61
4922,4849,279,717,381,1199,3708,4297,2196,1108,4319,385,675,489,1227,3040,3641,2460,1206,3974,Low Vegetation,61
4923,4850,303,686,400,1140,3513,3996,2139,1024,4412,369,682,466,1171,3198,3756,2347,1103,4154,Low Vegetation,61
4924,4851,278,666,328,1149,3660,4255,2104,992,4536,364,648,443,1190,3304,3977,2222,1029,4304,Low Vegetation,61
4925,4852,288,700,373,1184,3566,4091,2182,1035,4386,359,671,438,1158,3343,3965,2232,1019,4340,Low Vegetation,61
4926,4853,279,709,360,1183,3765,4469,2163,1006,4646,370,675,425,1188,3459,4155,2226,1017,4504,Low Vegetation,61
4927,4854,257,699,301,1177,4190,4879,2101,941,5072,343,655,396,1139,3598,4359,2206,981,4772,Low Vegetation,61
4928,4855,240,692,260,1179,4345,5107,2070,891,5366,329,627,354,1089,3769,4672,2204,964,4975,Low Vegetation,61
4929,4856,225,693,251,1170,4362,5201,2048,881,5413,340,652,368,1098,3882,4767,2212,965,5073,Low Vegetation,61
4930,4857,224,685,247,1159,4311,5148,1992,841,5448,333,683,340,1178,4393,5466,2249,967,5670,Low Vegetation,61
4931,4858,404,755,678,1309,2759,3219,2372,1268,3587,497,807,797,1381,2813,3329,2967,1655,3622,Low Vegetation,61
4932,4859,290,694,386,1193,3444,3974,2174,1107,3997,379,664,483,1178,3158,3722,2476,1212,4112,Low Vegetation,61
4933,4860,299,714,424,1218,3347,3859,2172,1062,4267,362,656,417,1151,3370,3996,2280,1041,4411,Low Vegetation,61
4934,4861,331,758,439,1273,3593,4069,2233,1099,4278,346,691,383,1167,3564,4260,2201,989,4613,Low Vegetation,61
4935,4862,311,766,414,1274,3635,4148,2200,1052,4460,357,680,383,1131,3649,4433,2198,987,4798,Low Vegetation,61
4936,4863,244,729,313,1213,4093,4737,2144,985,5044,350,652,382,1097,3664,4530,2210,968,4855,Low Vegetation,61
4937,4864,248,696,276,1199,4359,5144,2126,938,5470,333,638,359,1092,3862,4771,2213,960,5192,Low Vegetation,61
4938,4865,242,677,246,1160,4450,5344,2090,904,5547,334,634,383,1112,3937,4835,2235,976,5153,Low Vegetation,61
4939,4866,214,682,247,1117,4449,5232,2038,876,5511,338,646,340,1100,4097,5065,2248,983,5369,Low Vegetation,61
4940,4867,227,660,232,1121,4446,5313,1982,847,5638,327,673,318,1151,4542,5549,2290,971,5871,Low Vegetation,61
4941,4868,323,732,472,1233,3008,3550,2196,1136,3841,383,701,444,1151,3284,3999,2349,1111,4276,Low Vegetation,61
4942,4869,295,725,446,1281,3341,3795,2259,1202,4087,432,740,499,1279,3290,3935,2522,1313,4265,Low Vegetation,61
4943,4870,310,739,414,1284,3596,4051,2306,1161,4490,388,705,477,1237,3391,4044,2573,1321,4334,Low Vegetation,61
4944,4871,296,739,377,1239,3965,4656,2191,1024,4778,360,666,362,1150,3711,4558,2413,1105,4862,Low Vegetation,61
4945,4872,251,699,291,1198,4286,5076,2117,953,5371,337,665,362,1161,4216,5240,2274,993,5451,Low Vegetation,61
4946,4873,224,689,266,1178,4318,5120,2059,907,5396,332,650,321,1125,4381,5391,2292,978,5691,Low Vegetation,61
4947,4874,214,659,227,1152,4435,5304,1995,864,5557,332,655,312,1094,4468,5522,2289,962,5749,Low Vegetation,61
4948,4875,397,801,553,1356,3527,3970,2423,1287,4058,504,857,669,1317,3316,3790,2769,1469,4287,Low Vegetation,61
4949,4876,249,721,309,1253,4053,4665,2163,972,5209,342,687,360,1189,4151,5201,2393,1096,5369,Low Vegetation,61
4950,4877,228,666,238,1137,4366,5225,2020,859,5489,329,644,311,1080,4370,5435,2268,960,5707,Low Vegetation,61
4951,4879,670,998,1235,1675,2409,2658,3853,2371,3130,613,1010,885,1573,3144,3541,3574,1970,3950,Low Vegetation,61
4952,4880,666,995,1210,1700,2378,2710,3894,2391,3108,603,1010,854,1562,3089,3547,3568,1962,3946,Low Vegetation,61
4953,4881,671,1000,1229,1738,2390,2672,3895,2415,3147,630,1018,916,1603,3011,3439,3678,2023,3788,Low Vegetation,61
4954,4882,641,1003,1196,1707,2441,2704,3827,2375,3136,654,1028,961,1636,2955,3356,3799,2176,3740,Low Vegetation,61
4955,4883,632,969,1154,1686,2408,2704,3713,2292,3176,672,1035,996,1663,2888,3321,3874,2261,3717,Low Vegetation,61
4956,4884,648,984,1185,1719,2348,2673,3796,2355,3101,610,1032,854,1572,3126,3563,3536,1971,3975,Low Vegetation,61
4957,4885,577,860,1026,1529,2133,2434,3691,2308,2862,576,946,802,1550,2900,3438,3542,1970,3745,Low Vegetation,61
4958,4886,689,992,1254,1671,2288,2557,3876,2410,2928,621,1006,885,1557,3088,3460,3590,2005,3934,Low Vegetation,61
4959,4887,682,993,1254,1747,2308,2570,3936,2491,3059,634,1015,913,1626,2977,3417,3732,2080,3810,Low Vegetation,61
4960,4888,600,946,1128,1655,2373,2639,3780,2308,2985,640,1028,970,1642,2963,3305,3838,2217,3750,Low Vegetation,61
4961,4889,609,937,1118,1691,2269,2571,3654,2295,3062,653,1009,1024,1644,2742,3155,3947,2339,3576,Low Vegetation,61
4962,4890,672,991,1235,1700,2332,2599,3861,2442,3022,622,1007,897,1567,2987,3348,3694,2100,3826,Low Vegetation,61
4963,4891,660,985,1170,1726,2500,2764,3764,2329,3267,578,986,773,1542,3170,3625,3518,1946,3968,Low Vegetation,61
4964,4892,669,1019,1191,1706,2389,2646,3794,2331,3129,606,990,839,1559,3141,3580,3503,1943,3902,Low Vegetation,61
4965,4893,637,926,1133,1529,2159,2408,3775,2329,2826,580,948,834,1523,2945,3447,3514,1943,3771,Low Vegetation,61
4966,4894,654,964,1229,1641,2198,2439,3858,2437,2860,602,1011,873,1541,3065,3454,3585,1986,3863,Low Vegetation,61
4967,4895,720,1029,1328,1747,2278,2561,3995,2504,2951,637,1022,921,1611,2940,3391,3733,2106,3772,Low Vegetation,61
4968,4896,621,976,1161,1650,2298,2583,3697,2297,3064,656,1030,955,1642,2999,3366,3783,2187,3813,Low Vegetation,61
4969,4897,612,906,1096,1504,2171,2428,3481,2129,2804,623,999,1004,1635,2795,3087,3829,2283,3531,Low Vegetation,61
4970,4898,666,998,1220,1689,2291,2579,3725,2364,3043,649,1042,895,1587,3120,3554,3617,2073,3973,Low Vegetation,61
4971,4899,665,1016,1211,1725,2417,2733,3696,2289,3188,566,993,791,1559,3256,3736,3485,1936,4094,Low Vegetation,61
4972,4900,683,1021,1231,1728,2391,2711,3806,2370,3121,625,1041,849,1583,3182,3626,3533,1989,3960,Low Vegetation,61
4973,4901,683,1001,1271,1699,2242,2536,3912,2483,2970,614,1009,914,1565,2954,3301,3687,2083,3738,Low Vegetation,61
4974,4902,662,990,1261,1670,2233,2476,3926,2443,2924,619,1014,904,1574,2912,3319,3722,2087,3699,Low Vegetation,61
4975,4903,710,1032,1333,1751,2287,2532,4030,2531,2975,633,1027,946,1597,2972,3382,3748,2100,3766,Low Vegetation,61
4976,4904,610,959,1140,1593,2311,2583,3635,2284,3029,665,1053,972,1695,2969,3372,3863,2254,3736,Low Vegetation,61
4977,4905,653,992,1169,1688,2388,2646,3715,2310,3114,617,1017,844,1573,3136,3619,3610,2031,3974,Low Vegetation,61
4978,4906,677,1007,1229,1694,2345,2612,3843,2404,3064,596,1014,837,1578,3124,3543,3608,2027,3955,Low Vegetation,61
4979,4907,685,999,1271,1723,2272,2545,3983,2517,2929,653,1021,948,1596,2879,3275,3768,2156,3643,Low Vegetation,61
4980,4908,699,998,1310,1707,2216,2468,3995,2516,2934,656,1045,964,1636,2885,3319,3826,2164,3699,Low Vegetation,61
4981,4909,712,1011,1336,1736,2258,2527,4043,2567,2994,651,1052,973,1645,2966,3350,3823,2161,3778,Low Vegetation,61
4982,4910,666,1014,1234,1691,2288,2550,3812,2364,2967,671,1062,997,1694,2955,3346,3871,2250,3775,Low Vegetation,61
4983,4911,691,990,1268,1718,2214,2513,3904,2502,2953,638,1016,906,1578,2938,3392,3767,2126,3806,Low Vegetation,61
4984,4912,678,993,1241,1680,2229,2471,3960,2509,2916,646,1042,982,1618,2839,3262,3839,2225,3578,Low Vegetation,61
4985,4913,693,1014,1304,1719,2255,2505,4032,2535,2923,658,1050,958,1662,2971,3348,3812,2164,3764,Low Vegetation,61
4986,4914,723,1026,1336,1759,2247,2525,4093,2594,2938,657,1059,964,1671,2994,3360,3833,2164,3784,Low Vegetation,61
4987,4915,702,1020,1341,1738,2184,2483,3917,2500,2961,652,1046,987,1665,2932,3391,3810,2196,3721,Low Vegetation,61
4988,4916,681,998,1288,1722,2248,2512,3928,2516,2937,677,1040,991,1651,2850,3225,3890,2262,3635,Low Vegetation,61
4989,4917,697,1008,1279,1720,2256,2514,4033,2555,2892,648,1054,972,1690,2960,3272,3846,2228,3746,Low Vegetation,61
4990,4918,712,1016,1336,1751,2187,2453,4110,2611,2905,678,1067,969,1674,2964,3352,3865,2216,3734,Low Vegetation,61
4991,4919,705,1031,1319,1724,2230,2465,3955,2557,2967,668,1048,997,1652,2900,3294,3884,2259,3693,Low Vegetation,61
4992,4920,729,1032,1348,1746,2207,2513,4051,2585,2909,666,1035,981,1670,2844,3262,3879,2241,3658,Low Vegetation,61
4993,4921,714,1026,1350,1760,2181,2437,4107,2635,2886,670,1055,970,1649,2914,3320,3853,2203,3705,Low Vegetation,61
4994,4922,731,1048,1397,1779,2250,2508,4069,2648,2948,648,1044,968,1690,2883,3253,3878,2255,3734,Low Vegetation,61
4995,5495,465,827,1214,1176,597,554,52,60,309,1428,1668,1851,1967,1591,1588,1304,1163,1506,Permenant Water,1
4996,5496,486,819,1215,1161,603,547,43,68,307,1349,1563,1695,1835,1459,1495,1250,1101,1363,Permenant Water,1
4997,5497,494,835,1187,1147,605,559,101,67,304,536,719,798,827,485,448,283,237,392,Permenant Water,1
4998,5498,483,839,1187,1147,578,547,76,57,302,712,893,997,1110,647,746,515,408,582,Permenant Water,1
4999,5499,486,833,1194,1161,585,544,64,59,299,903,1086,1190,1259,919,800,590,514,771,Permenant Water,1
5000,5500,472,818,1197,1153,588,557,63,52,302,746,965,1029,1084,736,755,529,437,536,Permenant Water,1
5001,5501,473,848,1212,1170,590,549,74,51,291,865,1063,1178,1236,855,915,669,589,688,Permenant Water,1
5002,5502,470,811,1215,1174,601,567,72,57,302,1176,1416,1590,1814,1288,1378,1073,989,1310,Permenant Water,1
